"Journal Data Filtered By:  Selected Categories: ENGINEERING, BIOMEDICAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Cellular and Molecular Bioengineering","CELL MOL BIOENG","SPRINGER","1865-5025","1865-5033","ENGINEERING, BIOMEDICAL","SCIE","1,513","5","Q1","0.45","20"%,
"COMPUTERIZED MEDICAL IMAGING AND GRAPHICS","COMPUT MED IMAG GRAP","PERGAMON-ELSEVIER SCIENCE LTD","0895-6111","1879-0771","ENGINEERING, BIOMEDICAL","SCIE","4,960","4.9","Q2","1.4","26.11"%,
"Biomedical Signal Processing and Control","BIOMED SIGNAL PROCES","ELSEVIER SCI LTD","1746-8094","1746-8108","ENGINEERING, BIOMEDICAL","SCIE","24,134","4.9","Q2","1.04","9.01"%,
"IEEE Transactions on Biomedical Circuits and Systems","IEEE T BIOMED CIRC S","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1932-4545","1940-9990","ENGINEERING, BIOMEDICAL","SCIE","6,159","4.9","Q2","0.89","10.69"%,
"Computer Methods and Programs in Biomedicine","COMPUT METH PROG BIO","ELSEVIER IRELAND LTD","0169-2607","1872-7565","ENGINEERING, BIOMEDICAL","SCIE","20,677","4.8","Q2","1.1","27.74"%,
"Frontiers in Bioengineering and Biotechnology","FRONT BIOENG BIOTECH","FRONTIERS MEDIA SA","2296-4185","2296-4185","ENGINEERING, BIOMEDICAL","SCIE","44,234","4.8","Q2","0.8","99.45"%,
"Tissue Engineering Part B-Reviews","TISSUE ENG PART B-RE","MARY ANN LIEBERT, INC","1937-3368","1937-3376","ENGINEERING, BIOMEDICAL","SCIE","4,714","4.6","Q2","0.53","8.28"%,
"IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING","IEEE T BIO-MED ENG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9294","1558-2531","ENGINEERING, BIOMEDICAL","SCIE","27,615","4.5","Q2","1","19.14"%,
"Artificial Cells Nanomedicine and Biotechnology","ARTIF CELL NANOMED B","TAYLOR & FRANCIS LTD","2169-1401","2169-141X","ENGINEERING, BIOMEDICAL","SCIE","8,382","4.5","Q2","0.91","98.45"%,
"JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","J MATER SCI-MATER M","SPRINGER","0957-4530","1573-4838","ENGINEERING, BIOMEDICAL","SCIE","10,792","4.5","Q2","0.72","100"%,
"IEEE Journal of Translational Engineering in Health and Medicine","IEEE J TRANSL ENG HE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2372","2168-2372","ENGINEERING, BIOMEDICAL","SCIE","1,682","4.4","Q2","0.86","97.24"%,
"Advanced NanoBiomed Research","ADV NANOBIOMED RES","WILEY-V C H VERLAG GMBH","2699-9307","2699-9307","ENGINEERING, BIOMEDICAL","ESCI","1,336","4.4","Q2","0.44","86.21"%,
"IRBM","IRBM","ELSEVIER SCIENCE INC","1959-0318","1876-0988","ENGINEERING, BIOMEDICAL","SCIE","1,482","4.2","Q2","1.11","15.61"%,
"Current Opinion in Biomedical Engineering","CURR OPIN BIOMED ENG","ELSEVIER","2468-4511","2468-4511","ENGINEERING, BIOMEDICAL","SCIE","1,930","4.2","Q2","0.82","18.99"%,
"APL Bioengineering","APL BIOENG","AIP Publishing","2473-2877","2473-2877","ENGINEERING, BIOMEDICAL","SCIE","1,730","4.1","Q2","0.82","97.7"%,
"Tissue Engineering and Regenerative Medicine","TISSUE ENG REGEN MED","KOREAN TISSUE ENGINEERING REGENERATIVE MEDICINE SOC","1738-2696","2212-5469","ENGINEERING, BIOMEDICAL","SCIE","2,467","4.1","Q2","0.8","16.41"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A","J BIOMED MATER RES A","WILEY","1549-3296","1552-4965","ENGINEERING, BIOMEDICAL","SCIE","16,458","3.9","Q2","0.67","32.15"%,
"Journal of Neural Engineering","J NEURAL ENG","IOP Publishing Ltd","1741-2560","1741-2552","ENGINEERING, BIOMEDICAL","SCIE","13,711","3.8","Q2","0.9","47.88"%,
"IEEE Transactions on Medical Robotics and Bionics","IEEE T MED ROBOT BIO","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2576-3202","ENGINEERING, BIOMEDICAL","ESCI","1,785","3.8","Q2","0.81","9.2"%,
"Frontiers in Medical Technology","FRONT MED TECHNOL","FRONTIERS MEDIA SA","N/A","2673-3129","ENGINEERING, BIOMEDICAL","ESCI","994","3.8","Q2","0.5","100"%,
"Bioengineering-Basel","BIOENGINEERING-BASEL","MDPI","N/A","2306-5354","ENGINEERING, BIOMEDICAL","SCIE","12,548","3.7","Q2","0.75","100"%,
"Biomedical Materials","BIOMED MATER","IOP Publishing Ltd","1748-6041","1748-605X","ENGINEERING, BIOMEDICAL","SCIE","6,337","3.7","Q2","0.64","27.08"%,
"JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION","J BIOMAT SCI-POLYM E","TAYLOR & FRANCIS LTD","0920-5063","1568-5624","ENGINEERING, BIOMEDICAL","SCIE","5,654","3.6","Q2","0.61","1.84"%,
"Regenerative Therapy","REGEN THER","ELSEVIER","2352-3204","2352-3204","ENGINEERING, BIOMEDICAL","SCIE","2,032","3.5","Q2","0.69","96.09"%,
"Journal of the Mechanical Behavior of Biomedical Materials","J MECH BEHAV BIOMED","ELSEVIER","1751-6161","1878-0180","ENGINEERING, BIOMEDICAL","SCIE","20,741","3.5","Q2","0.67","25.05"%,
"PHYSICS IN MEDICINE AND BIOLOGY","PHYS MED BIOL","IOP Publishing Ltd","0031-9155","1361-6560","ENGINEERING, BIOMEDICAL","SCIE","30,706","3.4","Q2","0.87","39.79"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS","J BIOMED MATER RES B","WILEY","1552-4973","1552-4981","ENGINEERING, BIOMEDICAL","SCIE","10,652","3.4","Q2","0.52","19.96"%,
"Healthcare Technology Letters","HEALTHC TECHNOL LETT","WILEY","N/A","2053-3713","ENGINEERING, BIOMEDICAL","ESCI","730","3.3","Q2","0.52","66.67"%,
"BIOMEDICAL MICRODEVICES","BIOMED MICRODEVICES","SPRINGER","1387-2176","1572-8781","ENGINEERING, BIOMEDICAL","SCIE","3,352","3.3","Q2","0.47","25.81"%,
"Biomedical Engineering Online","BIOMED ENG ONLINE","BMC","N/A","1475-925X","ENGINEERING, BIOMEDICAL","SCIE","5,529","3.2","Q2","0.54","99.71"%,
"EUROPEAN CELLS & MATERIALS","EUR CELLS MATER","FORUM MULTIMEDIA PUBLISHING, LLC","1473-2262","1473-2262","ENGINEERING, BIOMEDICAL","SCIE","2,655","3.1","Q2","0.84","51.39"%,
"Journal of Applied Biomaterials & Functional Materials","J APPL BIOMATER FUNC","SAGE PUBLICATIONS LTD","N/A","2280-8000","ENGINEERING, BIOMEDICAL","SCIE","1,319","3.1","Q2","0.61","92.59"%,
"Biomedical Engineering and Computational Biology","BIOMED ENG COMPUT BI","SAGE PUBLICATIONS LTD","1179-5972","1179-5972","ENGINEERING, BIOMEDICAL","ESCI","118","3.1","Q2","0.34","96.55"%,
"Tissue Engineering Part A","TISSUE ENG PT A","MARY ANN LIEBERT, INC","1937-3341","1937-335X","ENGINEERING, BIOMEDICAL","SCIE","7,361","2.9","Q3","0.58","2.19"%,
"IEEE Open Journal of Engineering in Medicine and Biology","IEEE OPEN J ENG MED","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2644-1276","ENGINEERING, BIOMEDICAL","ESCI","542","2.9","Q3","0.5","98.75"%,
"Wearable Technologies","WEAR TECHNOL","CAMBRIDGE UNIV PRESS","N/A","2631-7176","ENGINEERING, BIOMEDICAL","ESCI","377","2.8","Q3","0.91","100"%,
"Biomedical Engineering Letters","BIOMED ENG LETT","SPRINGERNATURE","2093-9868","2093-985X","ENGINEERING, BIOMEDICAL","SCIE","1,542","2.8","Q3","0.48","16.81"%,
"Organogenesis","ORGANOGENESIS","TAYLOR & FRANCIS INC","1547-6278","1555-8592","ENGINEERING, BIOMEDICAL","SCIE","1,098","2.8","Q3","0.42","100"%,
"PHYSIOLOGICAL MEASUREMENT","PHYSIOL MEAS","IOP Publishing Ltd","0967-3334","1361-6579","ENGINEERING, BIOMEDICAL","SCIE","7,254","2.7","Q3","0.75","42.75"%,
"Biomechanics and Modeling in Mechanobiology","BIOMECH MODEL MECHAN","SPRINGER HEIDELBERG","1617-7959","1617-7940","ENGINEERING, BIOMEDICAL","SCIE","4,892","2.7","Q3","0.72","44.57"%,
"Expert Review of Medical Devices","EXPERT REV MED DEVIC","TAYLOR & FRANCIS LTD","1743-4440","1745-2422","ENGINEERING, BIOMEDICAL","SCIE","3,516","2.7","Q3","0.37","24.49"%,
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","SPRINGER HEIDELBERG","0140-0118","1741-0444","ENGINEERING, BIOMEDICAL","SCIE","7,720","2.6","Q3","0.63","13.9"%,
"Journal of Tissue Engineering and Regenerative Medicine","J TISSUE ENG REGEN M","WILEY","1932-6254","1932-7005","ENGINEERING, BIOMEDICAL","SCIE","5,486","2.6","Q3","0.54","73.98"%,
"Tissue Engineering Part C-Methods","TISSUE ENG PART C-ME","MARY ANN LIEBERT, INC","1937-3384","1937-3392","ENGINEERING, BIOMEDICAL","SCIE","2,923","2.6","Q3","0.5","6.54"%,
"Regenerative Medicine","REGEN MED","TAYLOR & FRANCIS LTD","1746-0751","1746-076X","ENGINEERING, BIOMEDICAL","SCIE","2,104","2.6","Q3","0.44","26.21"%,
"ULTRASONIC IMAGING","ULTRASONIC IMAGING","SAGE PUBLICATIONS INC","0161-7346","1096-0910","ENGINEERING, BIOMEDICAL","SCIE","1,059","2.5","Q3","0.61","7.58"%,
"JOURNAL OF BIOMATERIALS APPLICATIONS","J BIOMATER APPL","SAGE PUBLICATIONS LTD","0885-3282","1530-8022","ENGINEERING, BIOMEDICAL","SCIE","3,830","2.5","Q3","0.44","2.99"%,
"LASERS IN MEDICAL SCIENCE","LASER MED SCI","SPRINGER LONDON LTD","0268-8921","1435-604X","ENGINEERING, BIOMEDICAL","SCIE","7,851","2.4","Q3","0.71","17.33"%,
"International Journal for Numerical Methods in Biomedical Engineering","INT J NUMER METH BIO","WILEY","2040-7939","2040-7947","ENGINEERING, BIOMEDICAL","SCIE","2,741","2.4","Q3","0.62","36.99"%,
"JOURNAL OF BIOMECHANICS","J BIOMECH","ELSEVIER SCI LTD","0021-9290","1873-2380","ENGINEERING, BIOMEDICAL","SCIE","31,428","2.4","Q3","0.6","27.78"%,
"ASAIO JOURNAL","ASAIO J","LIPPINCOTT WILLIAMS & WILKINS","1058-2916","1538-943X","ENGINEERING, BIOMEDICAL","SCIE","5,219","2.3","Q3","0.81","8.49"%,
"International Journal of Computer Assisted Radiology and Surgery","INT J COMPUT ASS RAD","SPRINGER HEIDELBERG","1861-6410","1861-6429","ENGINEERING, BIOMEDICAL","SCIE","5,870","2.3","Q3","0.81","40.63"%,
"ARTIFICIAL ORGANS","ARTIF ORGANS","WILEY","0160-564X","1525-1594","ENGINEERING, BIOMEDICAL","SCIE","4,796","2.3","Q3","0.57","35.16"%,
"MEDICAL ENGINEERING & PHYSICS","MED ENG PHYS","ELSEVIER SCI LTD","1350-4533","1873-4030","ENGINEERING, BIOMEDICAL","SCIE","7,238","2.3","Q3","0.43","19.15"%,
"Brain-Computer Interfaces","BRAIN-COMPUT INTERFA","TAYLOR & FRANCIS LTD","2326-263X","2326-2621","ENGINEERING, BIOMEDICAL","ESCI","322","2.1","Q3","0.43","38.71"%,
"Sports Biomechanics","SPORT BIOMECH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1476-3141","1752-6116","ENGINEERING, BIOMEDICAL","SCIE","2,776","2","Q3","0.63","20.06"%,
"Physical and Engineering Sciences in Medicine","PHYS ENG SCI MED","SPRINGER","2662-4729","2662-4737","ENGINEERING, BIOMEDICAL","SCIE","1,343","2","Q3","0.57","27.98"%,
"Journal of Rehabilitation and Assistive Technologies Engineering","J REHABIL ASSIST TER","SAGE PUBLICATIONS INC","2055-6683","2055-6683","ENGINEERING, BIOMEDICAL","ESCI","578","2","Q3","0.34","95.45"%,
"CELL AND TISSUE BANKING","CELL TISSUE BANK","SPRINGER","1389-9333","1573-6814","ENGINEERING, BIOMEDICAL","SCIE","1,501","2","Q3","0.28","19.14"%,
"Regenerative Engineering and Translational Medicine","REGEN ENG TRANSL MED","SPRINGER HEIDELBERG","2364-4133","2364-4141","ENGINEERING, BIOMEDICAL","ESCI","712","1.9","Q3","0.28","7.87"%,
"TECHNOLOGY AND HEALTH CARE","TECHNOL HEALTH CARE","IOS PRESS","0928-7329","1878-7401","ENGINEERING, BIOMEDICAL","SCIE","2,467","1.8","Q3","0.47","19.09"%,
"Cardiovascular Engineering and Technology","CARDIOVASC ENG TECHN","SPRINGER","1869-408X","1869-4098","ENGINEERING, BIOMEDICAL","SCIE","1,142","1.8","Q3","0.42","22.56"%,
"Biomedical Engineering-Biomedizinische Technik","BIOMED ENG-BIOMED TE","WALTER DE GRUYTER GMBH","0013-5585","1862-278X","ENGINEERING, BIOMEDICAL","SCIE","1,409","1.8","Q3","0.29","11.04"%,
"Biosurface and Biotribology","BIOSURF BIOTRIBOL","WILEY","2405-4518","2405-4518","ENGINEERING, BIOMEDICAL","ESCI","403","1.8","Q3","0.21","93.55"%,
"JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME","J BIOMECH ENG-T ASME","ASME","0148-0731","1528-8951","ENGINEERING, BIOMEDICAL","SCIE","7,981","1.7","Q4","0.48","2.96"%,
"Journal of Medical and Biological Engineering","J MED BIOL ENG","SPRINGER HEIDELBERG","1609-0985","2199-4757","ENGINEERING, BIOMEDICAL","SCIE","1,486","1.7","Q4","0.34","19.84"%,
"COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING","COMPUT METHOD BIOMEC","TAYLOR & FRANCIS LTD","1025-5842","1476-8259","ENGINEERING, BIOMEDICAL","SCIE","4,179","1.6","Q4","0.34","7.92"%,
"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE","P I MECH ENG H","SAGE PUBLICATIONS LTD","0954-4119","2041-3033","ENGINEERING, BIOMEDICAL","SCIE","3,229","1.5","Q4","0.32","10.5"%,
"Medical Devices-Evidence and Research","MED DEVICES-EVID RES","DOVE MEDICAL PRESS LTD","1179-1470","1179-1470","ENGINEERING, BIOMEDICAL","ESCI","1,106","1.5","Q4","0.28","98.98"%,
"CLINICAL BIOMECHANICS","CLIN BIOMECH","ELSEVIER SCI LTD","0268-0033","1879-1271","ENGINEERING, BIOMEDICAL","SCIE","9,451","1.4","Q4","0.52","14.46"%,
"BIOMECHANICS","BIOMECHANICS-BASEL","MDPI","N/A","2673-7078","ENGINEERING, BIOMEDICAL","ESCI","212","1.4","Q4","0.39","100"%,
"International Journal of Biomedical Imaging","INT J BIOMED IMAGING","WILEY","1687-4188","1687-4196","ENGINEERING, BIOMEDICAL","ESCI","728","1.3","Q4","0.56","100"%,
"Journal of Applied Biomechanics","J APPL BIOMECH","HUMAN KINETICS PUBL INC","1065-8483","1543-2688","ENGINEERING, BIOMEDICAL","SCIE","2,470","1.3","Q4","0.41","2.37"%,
"INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS","INT J ARTIF ORGANS","SAGE PUBLICATIONS LTD","0391-3988","1724-6040","ENGINEERING, BIOMEDICAL","SCIE","2,394","1.3","Q4","0.39","7.26"%,
"JOURNAL OF ARTIFICIAL ORGANS","J ARTIF ORGANS","SPRINGER JAPAN KK","1434-7229","1619-0904","ENGINEERING, BIOMEDICAL","SCIE","963","1.3","Q4","0.32","19.28"%,
"PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY","PACE","WILEY","0147-8389","1540-8159","ENGINEERING, BIOMEDICAL","SCIE","5,157","1.3","Q4","0.32","21.66"%,
"Computer Methods in Biomechanics and Biomedical Engineering-Imaging and Visualization","COMP M BIO BIO E-IV","TAYLOR & FRANCIS LTD","2168-1163","2168-1171","ENGINEERING, BIOMEDICAL","ESCI","923","1.3","Q4","0.23","25.95"%,
"BIO-MEDICAL MATERIALS AND ENGINEERING","BIO-MED MATER ENG","IOS PRESS","0959-2989","1878-3619","ENGINEERING, BIOMEDICAL","SCIE","1,569","1.3","Q4","0.22","4.17"%,
"AIMS Bioengineering","AIMS BIOENG","AMER INST MATHEMATICAL SCIENCES-AIMS","2375-1495","2375-1495","ENGINEERING, BIOMEDICAL","ESCI","279","1.2","Q4","0.26","100"%,
"Journal of Medical Signals & Sensors","J MED SIGNALS SENS","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2228-7477","2228-7477","ENGINEERING, BIOMEDICAL","ESCI","473","1.1","Q4","0.21","100"%,
"BIORHEOLOGY","BIORHEOLOGY","IOS PRESS","0006-355X","1878-5034","ENGINEERING, BIOMEDICAL","SCIE","1,199","0.8","Q4","0.27","0"%,
"Acta of Bioengineering and Biomechanics","ACTA BIOENG BIOMECH","SCIENDO","1509-409X","2450-6303","ENGINEERING, BIOMEDICAL","SCIE","1,012","0.8","Q4","0.22","65.41"%,
"Advanced Biomedical Engineering","ADV BIOMED ENG","JAPANESE SOC MEDICAL & BIOLOGICAL ENGINEERING","2187-5219","2187-5219","ENGINEERING, BIOMEDICAL","ESCI","164","0.8","Q4","0.14","100"%,
"ISOKINETICS AND EXERCISE SCIENCE","ISOKINET EXERC SCI","IOS PRESS","0959-3020","1878-5913","ENGINEERING, BIOMEDICAL","SCIE","702","0.7","Q4","0.25","3.57"%,
"Journal of Medical Devices-Transactions of the ASME","J MED DEVICES","ASME","1932-6181","1932-619X","ENGINEERING, BIOMEDICAL","SCIE","785","0.7","Q4","0.17","0.71"%,
"Applied Bionics and Biomechanics","APPL BIONICS BIOMECH","WILEY","1176-2322","1754-2103","ENGINEERING, BIOMEDICAL","SCIE","1,328","0.6","Q4","0.31","99.75"%,
"Journal of Mechanics in Medicine and Biology","J MECH MED BIOL","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-5194","1793-6810","ENGINEERING, BIOMEDICAL","SCIE","1,230","0.6","Q4","0.16","26.47"%,
"Bioinspired Biomimetic and Nanobiomaterials","BIOINSPIR BIOMIM NAN","EMERALD GROUP PUBLISHING LTD","2045-9858","2045-9866","ENGINEERING, BIOMEDICAL","SCIE","231","0.6","Q4","0.15","4.65"%,
"International Journal of Biomedical Engineering and Technology","INT J BIOMED ENG TEC","INDERSCIENCE ENTERPRISES LTD","1752-6418","1752-6426","ENGINEERING, BIOMEDICAL","ESCI","348","0.6","Q4","0.13","0"%,
"BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS","BIOMED ENG-APP BAS C","WORLD SCIENTIFIC PUBL CO PTE LTD","1016-2372","1793-7132","ENGINEERING, BIOMEDICAL","ESCI","377","0.6","Q4","0.12","0.6"%,
"Journal of Biomimetics Biomaterials and Biomedical Engineering","J BIOMIM BIOMATER BI","TRANS TECH PUBLICATIONS LTD","2296-9837","2296-9845","ENGINEERING, BIOMEDICAL","ESCI","270","0.5","Q4","0.1","0"%,
"Journal of Hard Tissue Biology","J HARD TISSUE BIOL","JOURNAL HARD TISSUE BIOLOGY","1341-7649","1341-7649","ENGINEERING, BIOMEDICAL","SCIE","264","0.4","Q4","0.09","1.02"%,
"BIOMEDICAL ENGINEERING","BIOMED ENG-MEDIT TEK","SPRINGER","0006-3398","1573-8256","ENGINEERING, BIOMEDICAL","ESCI","177","0.3","Q4","0.06","0"%,
"IEEE Pulse","IEEE PULSE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2154-2287","2154-2317","ENGINEERING, BIOMEDICAL","SCIE","317","0.2","Q4","0.06","0"%,

Copyright (c) 2025 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
