"Journal Data Filtered By:  Selected Categories: CARDIAC & CARDIOVASCULAR SYSTEMS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"PROGRESS IN CARDIOVASCULAR DISEASES","PROG CARDIOVASC DIS","W B SAUNDERS CO-ELSEVIER INC","0033-0620","1873-1740","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","6,379","7.6","Q1","1.26","17.27"%,
"European Journal of Preventive Cardiology","EUR J PREV CARDIOL","OXFORD UNIV PRESS","2047-4873","2047-4881","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","11,766","7.5","Q1","2.05","39.45"%,
"EUROPACE","EUROPACE","OXFORD UNIV PRESS","1099-5129","1532-2092","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","16,338","7.4","Q1","1.96","83.49"%,
"Circulation-Cardiovascular Interventions","CIRC-CARDIOVASC INTE","LIPPINCOTT WILLIAMS & WILKINS","1941-7640","1941-7632","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","7,254","7.4","Q1","1.69","14.8"%,
"JACC-Basic to Translational Science","JACC-BASIC TRANSL SC","ELSEVIER SCIENCE INC","2452-302X","2452-302X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,274","7.2","Q1","2.07","99.58"%,
"Circulation-Cardiovascular Imaging","CIRC-CARDIOVASC IMAG","LIPPINCOTT WILLIAMS & WILKINS","1941-9651","1942-0080","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","7,805","7","Q1","1.82","16.3"%,
"Circulation-Cardiovascular Quality and Outcomes","CIRC-CARDIOVASC QUAL","LIPPINCOTT WILLIAMS & WILKINS","1941-7705","1941-7713","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","7,657","6.7","Q1","1.48","10.48"%,
"European Heart Journal-Cardiovascular Imaging","EUR HEART J-CARD IMG","OXFORD UNIV PRESS","2047-2404","2047-2412","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","10,917","6.6","Q1","1.71","32.14"%,
"European Heart Journal-Cardiovascular Pharmacotherapy","EUR HEART J-CARD PHA","OXFORD UNIV PRESS","2055-6837","2055-6845","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,006","6.1","Q1","1.61","30.77"%,
"JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE","J CARDIOVASC MAGN R","ELSEVIER SCIENCE INC","1097-6647","1532-429X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","6,904","6.1","Q1","1.41","100"%,
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","J HEART LUNG TRANSPL","ELSEVIER SCIENCE INC","1053-2498","1557-3117","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","14,148","6","Q1","2.01","13.18"%,
"JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY","J AM SOC ECHOCARDIOG","MOSBY-ELSEVIER","0894-7317","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","12,523","6","Q1","1.53","19.1"%,
"American Journal of Preventive Cardiology","AM J PREVENT CARDIOL","ELSEVIER","2666-6677","2666-6677","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","1,294","5.9","Q1","1.14","95.26"%,
"Journal of Cardiovascular Computed Tomography","J CARDIOVASC COMPUT","ELSEVIER SCIENCE INC","1934-5925","1934-5925","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,289","5.8","Q1","1.49","23.7"%,
"Cardiovascular Intervention and Therapeutics","CARDIOVASC INTERV TH","SPRINGER JAPAN KK","1868-4300","1868-4297","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","1,085","5.8","Q1","1.02","25"%,
"HEART RHYTHM","HEART RHYTHM","ELSEVIER SCIENCE INC","1547-5271","1556-3871","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","15,509","5.7","Q1","1.54","17.47"%,
"ATHEROSCLEROSIS","ATHEROSCLEROSIS","ELSEVIER IRELAND LTD","0021-9150","1879-1484","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","24,673","5.7","Q1","1.33","34.97"%,
"Cardiac Failure Review","CARD FAIL REV","RADCLIFFE CARDIOLOGY","2057-7540","2057-7559","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","997","5.7","Q1","1.09","100"%,
"Circulation-Genomic and Precision Medicine","CIRC-GENOM PRECIS ME","LIPPINCOTT WILLIAMS & WILKINS","2574-8300","2574-8300","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,367","5.5","Q1","1.43","25.18"%,
"Journal of the American Heart Association","J AM HEART ASSOC","WILEY","N/A","2047-9980","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","44,926","5.3","Q1","1.38","79.62"%,
"CANADIAN JOURNAL OF CARDIOLOGY","CAN J CARDIOL","ELSEVIER SCIENCE INC","0828-282X","1916-7075","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","10,339","5.3","Q1","1.34","26.6"%,
"REVISTA ESPANOLA DE CARDIOLOGIA","REV ESP CARDIOL","EDICIONES DOYMA S A","N/A","1885-5857","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,058","4.9","Q1","2.1","10"%,
"JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY","J MOL CELL CARDIOL","ELSEVIER SCI LTD","0022-2828","1095-8584","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","13,512","4.7","Q1","0.96","28.53"%,
"European Heart Journal-Quality of Care and Clinical Outcomes","EUR HEART J-QUAL CAR","OXFORD UNIV PRESS","2058-5225","2058-1742","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,134","4.6","Q1","1.41","31.97"%,
"European Heart Journal-Acute Cardiovascular Care","EUR HEART J-ACUTE CA","OXFORD UNIV PRESS","2048-8726","2048-8734","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,167","4.6","Q1","1.12","27.43"%,
"JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY","J THORAC CARDIOV SUR","MOSBY-ELSEVIER","0022-5223","1097-685X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","29,309","4.4","Q1","2.04","11.22"%,
"HEART","HEART","BMJ PUBLISHING GROUP","1355-6037","1468-201X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","19,585","4.4","Q1","1.21","25"%,
"European Heart Journal - Digital Health","EUR HEART J-DIGIT HL","OXFORD UNIV PRESS","N/A","2634-3916","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","949","4.4","Q1","1.04","96.88"%,
"HEART FAILURE REVIEWS","HEART FAIL REV","SPRINGER","1382-4147","1573-7322","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,160","4.2","Q1","1.07","29.43"%,
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY","AM J PHYSIOL-HEART C","AMER PHYSIOLOGICAL SOC","0363-6135","1522-1539","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","24,857","4.1","Q1","1.25","8.06"%,
"ANNALS OF THORACIC SURGERY","ANN THORAC SURG","ELSEVIER SCIENCE INC","0003-4975","1552-6259","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","34,306","3.9","Q1","1.5","5.83"%,
"European Journal of Cardiovascular Nursing","EUR J CARDIOVASC NUR","OXFORD UNIV PRESS","1474-5151","1873-1953","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,373","3.9","Q1","1.16","35.91"%,
"Polish Heart Journal-Kardiologia Polska","POLISH HEART J","POLISH CARDIAC SOC","0022-9032","1897-4279","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,537","3.8","Q1","0.79","93.44"%,
"Clinical Research in Cardiology","CLIN RES CARDIOL","SPRINGER HEIDELBERG","1861-0684","1861-0692","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,343","3.7","Q1","0.98","70.4"%,
"CIRCULATION JOURNAL","CIRC J","JAPANESE CIRCULATION SOC","1346-9843","1347-4820","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","10,246","3.7","Q1","0.97","97.37"%,
"Cardiovascular Toxicology","CARDIOVASC TOXICOL","HUMANA PRESS INC","1530-7905","1559-0259","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,116","3.7","Q1","0.96","20.54"%,
"ESC Heart Failure","ESC HEART FAIL","WILEY PERIODICALS, INC","2055-5822","2055-5822","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","9,073","3.7","Q1","0.93","83.22"%,
"NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES","NUTR METAB CARDIOVAS","ELSEVIER SCI LTD","0939-4753","1590-3729","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","9,614","3.7","Q1","0.88","17.52"%,
"European Cardiology Review","EUR CARDIOL REV","RADCLIFFE CARDIOLOGY","1758-3756","1758-3756","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","1,050","3.6","Q2","0.74","97.5"%,
"AMERICAN HEART JOURNAL","AM HEART J","MOSBY-ELSEVIER","0002-8703","1097-6744","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","17,193","3.5","Q2","1.07","30.03"%,
"Current Heart Failure Reports","CURR HEART FAIL REP","SPRINGERNATURE","1546-9530","1546-9549","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","1,605","3.4","Q2","0.98","39.46"%,
"Cardiovascular Therapeutics","CARDIOVASC THER","WILEY","1755-5914","1755-5922","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,673","3.4","Q2","0.84","100"%,
"CURRENT PROBLEMS IN CARDIOLOGY","CURR PROB CARDIOLOGY","MOSBY-ELSEVIER","0146-2806","1535-6280","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,911","3.3","Q2","0.76","12.85"%,
"Arrhythmia & Electrophysiology Review","ARRHYTH ELECTROPHYSI","RADCLIFFE CARDIOLOGY","2050-3369","2050-3377","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","884","3.3","Q2","0.7","98.48"%,
"Current Cardiology Reports","CURR CARDIOL REP","SPRINGER","1523-3782","1534-3170","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,134","3.3","Q2","0.64","16.8"%,
"Clinical Medicine Insights-Cardiology","CLIN MED INSIGHTS-CA","SAGE PUBLICATIONS LTD","1179-5468","1179-5468","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","573","3.3","Q2","0.58","92.5"%,
"International Journal of Cardiology","INT J CARDIOL","ELSEVIER IRELAND LTD","0167-5273","1874-1754","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","31,491","3.2","Q2","0.89","18.79"%,
"Cardio-Oncology","CARDIO-ONCOLOGY","BMC","N/A","2057-3804","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","613","3.2","Q2","0.78","100"%,
"Annals of Cardiothoracic Surgery","ANN CARDIOTHORAC SUR","AME PUBLISHING COMPANY","2225-319X","2304-1021","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,667","3.1","Q2","0.99","99.32"%,
"RESPIRATORY MEDICINE","RESP MED","W B SAUNDERS CO LTD","0954-6111","1532-3064","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","13,738","3.1","Q2","0.91","28.89"%,
"Korean Circulation Journal","KOREAN CIRC J","KOREAN SOC CARDIOLOGY","1738-5520","1738-5555","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,986","3.1","Q2","0.8","0"%,
"CARDIOVASCULAR DRUGS AND THERAPY","CARDIOVASC DRUG THER","SPRINGER","0920-3206","1573-7241","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,639","3.1","Q2","0.78","27.89"%,
"Journal of Cardiopulmonary Rehabilitation and Prevention","J CARDIOPULM REHABIL","LIPPINCOTT WILLIAMS & WILKINS","1932-7501","1932-751X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,552","3.1","Q2","0.77","7.22"%,
"Global Heart","GLOB HEART","UBIQUITY PRESS LTD","2211-8160","2211-8179","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,169","3.1","Q2","0.75","98.68"%,
"EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY","EUR J CARDIO-THORAC","OXFORD UNIV PRESS INC","1010-7940","1873-734X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","17,324","3","Q2","1.09","21.6"%,
"American Journal of Cardiovascular Drugs","AM J CARDIOVASC DRUG","ADIS INT LTD","1175-3277","1179-187X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,533","3","Q2","0.68","30.06"%,
"Hellenic Journal of Cardiology","HELL J CARDIOL","ELSEVIER","1109-9666","2241-5955","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,194","3","Q2","0.67","100"%,
"Journal of Cardiovascular Aging","J CARDIOVASC AGING","OAE PUBLISHING INC","N/A","2768-5993","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","150","3","Q2","0.63","96.72"%,
"CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY","CARDIOVASC INTER RAD","SPRINGER","0174-1551","1432-086X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","7,319","2.9","Q2","0.78","32.68"%,
"CardioRenal Medicine","CARDIORENAL MED","KARGER","1664-3828","1664-5502","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","862","2.9","Q2","0.73","100"%,
"Frontiers in Cardiovascular Medicine","FRONT CARDIOVASC MED","FRONTIERS MEDIA SA","2297-055X","2297-055X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","29,172","2.9","Q2","0.72","99.5"%,
"Heart Rhythm O2","HEART RHYTHM O2","ELSEVIER","2666-5018","2666-5018","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","946","2.9","Q2","0.72","67.65"%,
"Open Heart","OPEN HEART","BMJ PUBLISHING GROUP","2053-3624","2053-3624","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","3,505","2.8","Q2","0.69","99.55"%,
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS","J CARDIOVASC PHARM T","SAGE PUBLICATIONS INC","1074-2484","1940-4034","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,491","2.8","Q2","0.63","92.11"%,
"Interventional Cardiology-Reviews Research Resources","INTERV CARDIOL-REV R","RADCLIFFE CARDIOLOGY","1756-1477","1756-1485","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","228","2.8","Q2","0.58","95.77"%,
"Structural Heart-The Journal of the Heart Team","STRUCT HEART","ELSEVIER SCIENCE INC","2474-8706","2474-8714","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","514","2.8","Q2","0.53","79.84"%,
"World Journal of Cardiology","WORLD J CARDIOL","BAISHIDENG PUBLISHING GROUP INC","1949-8462","1949-8462","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","2,045","2.8","Q2","0.52","88.55"%,
"JOURNAL OF NUCLEAR CARDIOLOGY","J NUCL CARDIOL","ELSEVIER SCIENCE INC","1071-3581","1532-6551","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,099","2.7","Q2","0.72","27.94"%,
"Cardiovascular Digital Health Journal","CARDIOVASC DIGIT HLT","ELSEVIER","2666-6936","2666-6936","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","355","2.7","Q2","0.71","85.54"%,
"Cardiology and Therapy","CARDIOL THER","SPRINGER LONDON LTD","2193-8261","2193-6544","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","712","2.7","Q2","0.6","99.22"%,
"Journal of Cardiovascular Nursing","J CARDIOVASC NURS","LIPPINCOTT WILLIAMS & WILKINS","0889-4655","1550-5049","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,578","2.6","Q2","0.92","8.19"%,
"HEART & LUNG","HEART LUNG","MOSBY-ELSEVIER","0147-9563","1527-3288","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,783","2.6","Q2","0.9","12.53"%,
"Journal of Cardiology","J CARDIOL","ELSEVIER","0914-5087","1876-4738","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,599","2.6","Q2","0.7","11.35"%,
"JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY","J CARDIOVASC ELECTR","WILEY","1045-3873","1540-8167","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","8,984","2.6","Q2","0.7","28.98"%,
"JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY","J INTERV CARD ELECTR","SPRINGER","1383-875X","1572-8595","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,434","2.6","Q2","0.6","25.54"%,
"Journal of Geriatric Cardiology","J GERIATR CARDIOL","TSINGHUA UNIV PRESS","1671-5411","1671-5411","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,311","2.6","Q2","0.57","8.6"%,
"Seminars in Thoracic and Cardiovascular Surgery","SEMIN THORAC CARDIOV","ELSEVIER INC","1043-0679","1532-9488","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,104","2.5","Q2","0.82","8.07"%,
"IJC Heart & Vasculature","IJC HEART VASC","ELSEVIER IRELAND LTD","N/A","2352-9067","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","2,377","2.5","Q2","0.64","98.25"%,
"Journal of Cardiovascular Translational Research","J CARDIOVASC TRANSL","SPRINGER","1937-5387","1937-5395","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","2,702","2.5","Q2","0.61","28.9"%,
"EUROPEAN HEART JOURNAL SUPPLEMENTS","EUR HEART J SUPPL","OXFORD UNIV PRESS","1520-765X","1554-2815","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,585","2.5","Q2","0.6","99.04"%,
"Pulmonary Circulation","PULM CIRC","WILEY","2045-8932","2045-8940","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,268","2.5","Q2","0.59","84.43"%,
"ACTA CARDIOLOGICA","ACTA CARDIOL","TAYLOR & FRANCIS LTD","0001-5385","1784-973X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,842","2.5","Q2","0.51","5.54"%,
"Echo Research and Practice","ECHO RES PRACT","SPRINGERNATURE","2055-0464","2055-0464","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","590","2.4","Q2","0.75","98.25"%,
"Annals of Thoracic Medicine","ANN THORAC MED","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1817-1737","1998-3557","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,066","2.3","Q2","0.62","100"%,
"BMC Cardiovascular Disorders","BMC CARDIOVASC DISOR","BMC","1471-2261","1471-2261","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","9,582","2.3","Q2","0.62","99.95"%,
"CLINICAL CARDIOLOGY","CLIN CARDIOL","WILEY","0160-9289","1932-8737","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,904","2.3","Q2","0.62","84.93"%,
"Journal of Cardiovascular Development and Disease","J CARDIOVASC DEV DIS","MDPI","N/A","2308-3425","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","3,818","2.3","Q2","0.61","100"%,
"Cardiology in Review","CARDIOL REV","LIPPINCOTT WILLIAMS & WILKINS","1061-5377","1538-4683","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,456","2.3","Q2","0.43","4.79"%,
"Heart International","HEART INT","TOUCH MEDICAL MEDIA LTD","2036-2579","2036-2579","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","229","2.3","Q2","0.33","86.05"%,
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY","J CARDIOVASC PHARM","LIPPINCOTT WILLIAMS & WILKINS","0160-2446","1533-4023","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,644","2.2","Q2","0.63","15.88"%,
"JOURNAL OF THROMBOSIS AND THROMBOLYSIS","J THROMB THROMBOLYS","SPRINGER","0929-5305","1573-742X","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,378","2.2","Q2","0.58","26.3"%,
"Heart Lung and Circulation","HEART LUNG CIRC","ELSEVIER SCIENCE INC","1443-9506","1444-2892","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","4,645","2.2","Q2","0.57","18.61"%,
"Archives of Cardiovascular Diseases","ARCH CARDIOVASC DIS","ELSEVIER MASSON, CORP OFF","1875-2136","1875-2128","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,947","2.2","Q2","0.54","11.44"%,
"Therapeutic Advances in Cardiovascular Disease","THER ADV CARDIO DIS","SAGE PUBLICATIONS LTD","1753-9447","1753-9455","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","741","2.2","Q2","0.54","96.43"%,
"JMIR Cardio","JMIR CARDIO","JMIR PUBLICATIONS, INC","N/A","2561-1011","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","418","2.2","Q2","0.51","100"%,
"CURRENT CARDIOLOGY REVIEWS","CURR CARDIOL REV","BENTHAM SCIENCE PUBL LTD","1573-403X","1875-6557","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","2,179","2.2","Q2","0.49","4.52"%,
"Journal of Molecular and Cellular Cardiology Plus","J MOL CELL CARD PLUS","ELSEVIER","N/A","2772-9761","CARDIAC & CARDIOVASCULAR SYSTEMS","ESCI","83","2.2","Q2","0.4","96.97"%,
"JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA","J CARDIOTHOR VASC AN","W B SAUNDERS CO-ELSEVIER INC","1053-0770","1532-8422","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","8,053","2.1","Q3","0.66","9.34"%,
"AMERICAN JOURNAL OF CARDIOLOGY","AM J CARDIOL","EXCERPTA MEDICA INC-ELSEVIER SCIENCE INC","0002-9149","1879-1913","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","31,933","2.1","Q3","0.59","11.81"%,
"Interactive Cardiovascular and Thoracic Surgery","INTERACT CARDIOV TH","OXFORD UNIV PRESS","1569-9293","1569-9285","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,848","2.1","Q3","0.53","91.56"%,
